LITHO;Slide_Susceptibility;Litho_ID;Litho_L1_Label
Lockergestein;2;1;Lockergestein
gravitative Sedimente und Verwitterungsbildungen, undifferenziert;2;2;gravitative Sedimente und Verwitterungsbildungen, undifferenziert
Sturzablagerung, undifferenziert;2;2;gravitative Sedimente und Verwitterungsbildungen, undifferenziert
Bergsturzablagerung;2;2;gravitative Sedimente und Verwitterungsbildungen, undifferenziert
Felssturzablagerung;2;2;gravitative Sedimente und Verwitterungsbildungen, undifferenziert
Lawinenschutt;2;2;gravitative Sedimente und Verwitterungsbildungen, undifferenziert
Hangschutt;3;2;gravitative Sedimente und Verwitterungsbildungen, undifferenziert
Blockschutt;2;2;gravitative Sedimente und Verwitterungsbildungen, undifferenziert
Verwitterungslehm, undifferenziert;3;2;gravitative Sedimente und Verwitterungsbildungen, undifferenziert
In-situ-Verwitterungsschutt;2;2;gravitative Sedimente und Verwitterungsbildungen, undifferenziert
Plateaulehm;2;2;gravitative Sedimente und Verwitterungsbildungen, undifferenziert
Hanglehm, Schwemmlehm;3;2;gravitative Sedimente und Verwitterungsbildungen, undifferenziert
Blockgletscher;1;2;gravitative Sedimente und Verwitterungsbildungen, undifferenziert
zerrüttete Sackungsmasse;3;2;gravitative Sedimente und Verwitterungsbildungen, undifferenziert
Rutschmasse;3;2;gravitative Sedimente und Verwitterungsbildungen, undifferenziert
glazigenes Sediment, undifferenziert;3;3;glazigenes Sediment
Moräne (Till), undifferenziert;3;3;glazigenes Sediment
Moräne auf Gletscher oder Toteis (Glacier or Dead Ice covered by Till);2;3;glazigenes Sediment
fluviatiles Sediment, undifferenziert;3;4;fluviatiles Sediment
glazifluviatiles Sediment, undifferenziert;3;4;fluviatiles Sediment
Kameterrassensediment;2;4;fluviatiles Sediment
randglazialer Schotter;3;4;fluviatiles Sediment
glazifluviatiler Schotter;3;4;fluviatiles Sediment
Vorstossschotter;3;4;fluviatiles Sediment
Rückzugsschotter;3;4;fluviatiles Sediment
Stauschotter;3;4;fluviatiles Sediment
gemischter Schutt, undifferenziert;3;4;fluviatiles Sediment
gemischter Schutt;3;4;fluviatiles Sediment
Murgangablagerung;2;4;fluviatiles Sediment
Alluvion, undifferenziert;3;4;fluviatiles Sediment
fluviatiler Schotter;3;4;fluviatiles Sediment
Bachschutt;3;4;fluviatiles Sediment
Überschwemmungssediment;3;4;fluviatiles Sediment
lakustrisches Sediment, undifferenziert;3;5;lakustrisches Sediment
glazilakustrisches Sediment, undifferenziert;3;5;lakustrisches Sediment
glazilakustrisches Deltasediment;3;5;lakustrisches Sediment
subaquatisch abgelagerte Moräne (Waterlaid Till);3;5;lakustrisches Sediment
detritische Verlandungsbildung;3;5;lakustrisches Sediment
Rückstausediment;3;5;lakustrisches Sediment
Strandablagerungen;2;5;lakustrisches Sediment
lakustrisches Deltasediment;2;5;lakustrisches Sediment
Seebodensediment;3;5;lakustrisches Sediment
Seekreide;3;5;lakustrisches Sediment
palustrisches Sediment, undifferenziert;1;5;lakustrisches Sediment
Gyttja;1;5;lakustrisches Sediment
Sumpf;1;5;lakustrisches Sediment
Torfmoor, Torf;1;5;lakustrisches Sediment
Lignit;1;5;lakustrisches Sediment
Lignit (palustrisches Sediment);1;5;lakustrisches Sediment
hydrochemische Bildungen (Kalksinter), undifferenziert;1;6;hydrochemische Bildungen (Kalksinter)
Quelltuf;1;6;hydrochemische Bildungen (Kalksinter)
Quelltuff (Kalksinter, Lockergestein);1;6;hydrochemische Bildungen (Kalksinter)
Travertin;1;6;hydrochemische Bildungen (Kalksinter)
Travertin (Kalksinter, Lockergestein);1;6;hydrochemische Bildungen (Kalksinter)
äolisches Sediment, undifferenziert;1;7;�olisches Sediment
äolischer Sand, Flugsand;1;7;�olisches Sediment
Löss, Lösslehm;2;7;�olisches Sediment
vulkanische Asche;1;7;�olisches Sediment
anthropogene Elemente, undifferenziert;2;8;anthropogene Elemente
künstliche Ablagerung, undifferenziert;2;8;anthropogene Elemente
Aufschüttung, Damm;2;8;anthropogene Elemente
Auffüllung;2;8;anthropogene Elemente
Deponie;2;8;anthropogene Elemente
Halde;2;8;anthropogene Elemente
dünne Lockermaterialbedeckung, undifferenziert;3;9;d�nne Lockermaterialbedeckung
geringmächtige Lockergesteinsbedeckung;3;9;d�nne Lockermaterialbedeckung
tiefgründige Verwitterungsdecke;3;9;d�nne Lockermaterialbedeckung
